counter,value,description
simSeconds,0.000055,Number of seconds simulated (Second)
simTicks,55140000,Number of ticks simulated (Tick)
finalTick,55140000,Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq,1000000000000,The number of ticks per simulated second ((Tick/Second))
hostSeconds,0.04,Real time elapsed on the host (Second)
hostTickRate,1330823257,The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory,2242392,Number of bytes of host memory used (Byte)
simInsts,12130,Number of instructions simulated (Count)
simOps,12138,Number of ops (including micro ops) simulated (Count)
hostInstRate,291804,Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate,291940,Simulator op (including micro ops) rate (op/s) ((Count/Second))
board.cache_hierarchy.l1d-cache-0.demandHits::processor.cores.core.data,4412,number of demand (read+write) hits (Count)
board.cache_hierarchy.l1d-cache-0.demandHits::total,4412,number of demand (read+write) hits (Count)
board.cache_hierarchy.l1d-cache-0.overallHits::processor.cores.core.data,4412,number of overall hits (Count)
board.cache_hierarchy.l1d-cache-0.overallHits::total,4412,number of overall hits (Count)
board.cache_hierarchy.l1d-cache-0.demandMisses::processor.cores.core.data,195,number of demand (read+write) misses (Count)
board.cache_hierarchy.l1d-cache-0.demandMisses::total,195,number of demand (read+write) misses (Count)
board.cache_hierarchy.l1d-cache-0.overallMisses::processor.cores.core.data,195,number of overall misses (Count)
board.cache_hierarchy.l1d-cache-0.overallMisses::total,195,number of overall misses (Count)
board.cache_hierarchy.l1d-cache-0.demandMissLatency::processor.cores.core.data,13997000,number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.demandMissLatency::total,13997000,number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.overallMissLatency::processor.cores.core.data,13997000,number of overall miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.overallMissLatency::total,13997000,number of overall miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.demandAccesses::processor.cores.core.data,4607,number of demand (read+write) accesses (Count)
board.cache_hierarchy.l1d-cache-0.demandAccesses::total,4607,number of demand (read+write) accesses (Count)
board.cache_hierarchy.l1d-cache-0.overallAccesses::processor.cores.core.data,4607,number of overall (read+write) accesses (Count)
board.cache_hierarchy.l1d-cache-0.overallAccesses::total,4607,number of overall (read+write) accesses (Count)
